clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
Xgboost,RandomUnderSampler,haberman_70,0.677869607,0.745125,0.746347826,0.704932275,0.741529006,0.491088547,0.745736413,0.745846154,0.07116971,0.103859142,0.076567441,0.070022613,0.05979481,0.115767445,0.058635634,0.055980239,1534.996699
Xgboost,SMOTE,haberman_70,0.717016188,0.71,0.796521739,0.707805608,0.747947126,0.512364108,0.75326087,0.761025641,0.09857181,0.117009963,0.092199481,0.085613213,0.071484916,0.136995074,0.068402811,0.066266058,2267.221602
Xgboost,Smote_tomek,haberman_70,0.715666482,0.70125,0.79826087,0.702527086,0.744331474,0.506012867,0.749755435,0.758461538,0.089237148,0.108752666,0.082538878,0.073134003,0.059985488,0.116613525,0.057439929,0.054893452,1589.967118
Xgboost,Tomek,haberman_70,0.713454523,0.6825,0.802608696,0.691077354,0.735165088,0.493831277,0.742554348,0.753333333,0.091185307,0.124738044,0.084754844,0.086552622,0.07064474,0.131916832,0.066405874,0.062007231,542.0978795
Xgboost,kmeans_SMOTE,haberman_70,0.721510934,0.69,0.809565217,0.699727376,0.743140326,0.507275678,0.749782609,0.760512821,0.089578591,0.112405,0.077683753,0.082785925,0.067755895,0.126162757,0.063323377,0.059346686,1903.434811
Xgboost,lvq_smote,haberman_70,0.713181629,0.71575,0.792695652,0.708715568,0.749016357,0.513058496,0.754222826,0.761128205,0.089785087,0.112620285,0.083132608,0.0802156,0.066514497,0.128011225,0.063949851,0.060909671,1819.083223
Xgboost,polynom_fit_SMOTE,haberman_70,0.717398865,0.69375,0.802608696,0.698335122,0.740921906,0.504475663,0.748179348,0.757948718,0.091273022,0.114972777,0.084394637,0.079412576,0.065740113,0.122560131,0.061184083,0.058708796,2446.342276
Xgboost,pure,haberman_70,0.730308579,0.66125,0.823478261,0.687268187,0.73304693,0.497861376,0.74236413,0.756923077,0.104923344,0.122689373,0.088759932,0.094510257,0.076679357,0.142969268,0.070778327,0.067160997,1833.080088
kNN,ADASYN,haberman_70,0.683614223,0.717875,0.762434783,0.695498429,0.735997552,0.481464827,0.740154891,0.744153846,0.079643591,0.101687709,0.076149766,0.073188359,0.063263852,0.124446717,0.062221773,0.060564442,1.393677998
kNN,AMSCO,haberman_70,0.67029519,0.7365625,0.741217391,0.696615515,0.734444307,0.477723153,0.738889946,0.739307692,0.077750942,0.120783616,0.081105344,0.077160992,0.065336989,0.13045156,0.065208674,0.061625097,549.8088979
kNN,Borderline_smote,haberman_70,0.673158415,0.708875,0.75573913,0.686270289,0.728443294,0.465240573,0.732307065,0.736512821,0.084789298,0.107435212,0.077074627,0.078819684,0.067894825,0.135030847,0.067308755,0.065094573,1.680831242
kNN,EditedNearestNeighbours,haberman_70,0.590041686,0.81875,0.592173913,0.681168678,0.689310416,0.416264943,0.705461957,0.685128205,0.060712371,0.108715672,0.098213593,0.065068657,0.067230088,0.131729305,0.065026282,0.064828053,0.633038139
